trade_date,price_1,quantity_1,direction_1,direction_price_1,asset_unit_1,price_2,quantity_2,direction_2,direction_price_2,asset_unit_2,quantity,asset_unit,price,direction
2023-03-01 03:00:00,0.00016486,-412913772.5799999,sell,sell,LUNC,0.02714005,47333.14282165,buy,buy,BUSD,-287111.141705993,LUNC,0.006074417696356492,sell
2023-03-01 07:00:00,0.00016415,-447128847.36,sell,sell,LUNC,0.02705682,5864.10576906,buy,sell,BUSD,-35724.06804179104,LUNC,0.006066862255061756,sell
2023-03-01 09:00:00,0.00016483,9739.057471216112,buy,buy,BUSD,0.02747,-842344.0,sell,buy,USTC,354.53430910870446,USTC,0.006000364033491081,buy
2023-03-01 10:00:00,0.00016597,57483.52405342052,buy,buy,BUSD,0.02744308,-139719.0,sell,sell,USTC,139.719,USTC,0.006047790554121476,buy
2023-03-01 14:00:00,0.00016469,30088.212823642858,buy,buy,BUSD,0.02705,-3017638.0,sell,sell,USTC,1112.318403831529,USTC,0.006088354898336414,buy
2023-03-01 20:00:00,0.00016441,112180.03402144287,buy,buy,BUSD,0.02684776,-1748911.0,sell,buy,USTC,1748.911,USTC,0.006123788353292789,buy
2023-03-02 03:00:00,0.00016371,40444.29484912352,buy,buy,BUSD,0.02696,-467580.0,sell,buy,USTC,467.58,USTC,0.006072329376854598,buy
2023-03-02 05:00:00,0.00016294,-195388477.9000001,sell,sell,LUNC,0.02690388,14382.30307428,buy,buy,BUSD,-88267.47928243525,LUNC,0.00605637551163624,sell
2023-03-02 06:00:00,0.0001633,17322.78210505004,buy,buy,BUSD,0.02680275,-891440.0,sell,sell,USTC,646.306147878484,USTC,0.006092658402589287,buy
2023-03-02 07:00:00,0.00016408,-218971108.3000002,sell,buy,LUNC,0.02693047,3904.54112342,buy,buy,BUSD,-23796.56949914676,LUNC,0.006092726937183049,sell
2023-03-02 10:00:00,0.00017433,-351261100.66999817,sell,buy,LUNC,0.0280359,126350.7642891,buy,buy,BUSD,-724779.236442953,LUNC,0.00621809893743379,sell
2023-03-02 19:00:00,0.00016767,-134203373.02000046,sell,buy,LUNC,0.02713905,25527.01756905,buy,buy,BUSD,-152245.58698067634,LUNC,0.006178182360841665,sell
2023-03-02 20:00:00,0.00016745,15350.528214053551,buy,sell,BUSD,0.02708136,-366833.0,sell,sell,USTC,366.833,USTC,0.006183219749672838,buy
2023-03-02 21:00:00,0.00016792,50482.27627581924,buy,buy,BUSD,0.02699584,-3938941.0,sell,sell,USTC,1870.0020549765904,USTC,0.006220217633531685,buy
2023-03-02 22:00:00,0.00016817,42116.3974682491,buy,buy,BUSD,0.02701703,-412395.0,sell,buy,USTC,412.39500000000004,USTC,0.006224592414488196,buy
2023-03-02 23:00:00,0.00016953,91173.16148184717,buy,buy,BUSD,0.02698647,-43163.0,sell,sell,USTC,43.163,USTC,0.006282036887373562,buy
2023-03-03 00:00:00,0.00016896,-448515031.6500001,sell,sell,LUNC,0.02702463,60981.59106297,buy,buy,BUSD,-360923.2425601918,LUNC,0.0062520744964870935,sell
2023-03-03 03:00:00,0.00014972,-1945564709.6100006,sell,buy,LUNC,0.02466697,10984.54707858,buy,buy,BUSD,-73367.2660872295,LUNC,0.0060696550893766035,sell
2023-03-03 04:00:00,0.00015169,-188725933.6100006,sell,buy,LUNC,0.0249864,44060.168222399996,buy,buy,BUSD,-290461.9172153734,LUNC,0.006070902570998624,sell
2023-03-03 14:00:00,0.00015219,2567.690545053681,buy,buy,BUSD,0.02500865,-1222741.0,sell,sell,USTC,102.6720972564965,USTC,0.006085494418931049,buy
2023-03-03 17:00:00,0.00015066,-310014711.0,sell,sell,LUNC,0.02553333,90607.574838,buy,buy,BUSD,-601404.3199123855,LUNC,0.005900522963514747,sell
2023-03-03 22:00:00,0.00015049,56805.53641483223,buy,buy,BUSD,0.02542,-753706.0,sell,buy,USTC,753.706,USTC,0.005920141620771046,buy
2023-03-03 23:00:00,0.00015135,75748.78656215858,buy,buy,BUSD,0.02531165,-259397.0,sell,sell,USTC,259.397,USTC,0.005979460051004182,buy
2023-03-04 01:00:00,0.00015103,-448926233.41999996,sell,sell,LUNC,0.025282,3579.728944,buy,sell,BUSD,-23702.10517115805,LUNC,0.0059738153627086465,sell
2023-03-04 03:00:00,0.00015101,622.2040551278942,buy,buy,BUSD,0.02517747,-514232.0,sell,sell,USTC,24.712731466977985,USTC,0.005997822656525854,buy
2023-03-04 08:00:00,0.00015024,27166.375459910407,buy,sell,BUSD,0.02514999,-1344071.0,sell,sell,USTC,1080.1744040419264,USTC,0.005973759830520807,buy
2023-03-04 09:00:00,0.00015169,164841.59227378925,buy,buy,BUSD,0.02487699,-1608897.0,sell,sell,USTC,1608.897,USTC,0.006097602644049783,buy
2023-03-04 10:00:00,0.00015056,-720671901.9500002,sell,sell,LUNC,0.02482845,4444.5408345,buy,sell,BUSD,-29520.063991099894,LUNC,0.006064011245164318,sell
2023-03-04 11:00:00,0.00015111,-63747308.7900002,sell,buy,LUNC,0.02525128,61916.441575360004,buy,buy,BUSD,-409744.1703087817,LUNC,0.005984251095390016,sell
2023-03-04 12:00:00,0.000151,-112467626.28999996,sell,sell,LUNC,0.02516593,5907.77756529,buy,sell,BUSD,-39124.354737019865,LUNC,0.006000175634280156,sell
2023-03-04 14:00:00,0.0001502,-152597763.28999996,sell,sell,LUNC,0.02478107,5143.261516359999,buy,sell,BUSD,-34242.75310492676,LUNC,0.0060610780728999995,sell
2023-03-04 15:00:00,0.00014948,-644245669.1300001,sell,sell,LUNC,0.02495775,17168.11177425,buy,buy,BUSD,-114852.23290239497,LUNC,0.005989321954102433,sell
2023-03-04 22:00:00,0.00014516,8756.224674909661,buy,buy,BUSD,0.02402855,-335677.0,sell,buy,USTC,335.677,USTC,0.006041146885683905,buy
2023-03-04 23:00:00,0.00014586,-492850153.3499999,sell,buy,LUNC,0.0242,10771.783,buy,buy,BUSD,-73850.1508295626,LUNC,0.006027272727272727,sell
2023-03-05 05:00:00,0.00014816,-98072669.25999999,sell,sell,LUNC,0.02455032,15594.41236464,buy,sell,BUSD,-105253.86315226782,LUNC,0.006034951886574187,sell
2023-03-05 10:00:00,0.00014713,-115539480.98000002,sell,sell,LUNC,0.02446669,5553.03336247,buy,sell,BUSD,-37742.35956276762,LUNC,0.006013482003491278,sell
2023-03-05 12:00:00,0.00014735,-229517115.4599998,sell,buy,LUNC,0.02444679,50174.1028602,buy,buy,BUSD,-340509.69026263995,LUNC,0.006027376191311825,sell
2023-03-05 14:00:00,0.00014668,-808166762.19,sell,sell,LUNC,0.0241601,2865.0979388,buy,buy,BUSD,-19532.982947913824,LUNC,0.006071166923977964,sell
2023-03-05 19:00:00,0.00014632,104572.87394168794,buy,buy,BUSD,0.02410089,-644872.0,sell,sell,USTC,644.872,USTC,0.0060711450904925085,buy
2023-03-06 00:00:00,0.00014518,-199282684.96000004,sell,buy,LUNC,0.02449991,165106.04498577,buy,buy,BUSD,-1137250.6198220828,LUNC,0.0059257360537242785,sell
2023-03-06 02:00:00,0.0001439,15355.768112991009,buy,sell,BUSD,0.02407584,-5741372.0,sell,sell,USTC,637.8081974706182,USTC,0.005976946183393808,buy
2023-03-06 07:00:00,0.00014407,-196022090.75,sell,sell,LUNC,0.0241535,24.660723500000003,buy,buy,BUSD,-171.1718157839939,LUNC,0.005964767010992195,sell
2023-03-06 08:00:00,0.00014461,6418.480074187198,buy,buy,BUSD,0.0241,-1486669.0,sell,sell,USTC,266.32697403266377,USTC,0.006000414937759336,buy
2023-03-06 09:00:00,0.00014401,-131760247.48000002,sell,sell,LUNC,0.02404758,1810.20563208,buy,sell,BUSD,-12569.999528366086,LUNC,0.005988544377438395,sell
2023-03-06 16:00:00,0.00014654,-190651048.92999983,sell,sell,LUNC,0.0248,19296.979199999998,buy,buy,BUSD,-131684.03985259996,LUNC,0.005908870967741935,sell
2023-03-06 17:00:00,0.00014604,8782.900892204385,buy,sell,BUSD,0.02459998,-2241972.0,sell,sell,USTC,357.02878182032606,USTC,0.00593659019234975,buy
2023-03-06 18:00:00,0.00014736,94927.22294653917,buy,buy,BUSD,0.02449422,-2187948.0,sell,sell,USTC,2187.948,USTC,0.0060161131891523795,buy
2023-03-06 20:00:00,0.00014548,23512.20868894879,buy,sell,BUSD,0.02428175,-12742.0,sell,sell,USTC,12.742,USTC,0.005991330937844265,buy
2023-03-06 21:00:00,0.00014639,34996.33621463813,buy,buy,BUSD,0.02433696,-97451.0,sell,buy,USTC,97.45100000000001,USTC,0.0060151308955596755,buy
2023-03-06 22:00:00,0.00014652,-272328649.68000007,sell,buy,LUNC,0.02445237,8620.58523402,buy,buy,BUSD,-58835.553057739555,LUNC,0.005992057211632247,sell
2023-03-07 00:00:00,0.00014599,92441.32149603656,buy,sell,BUSD,0.02425301,-1266279.0,sell,sell,USTC,1266.2790000000002,USTC,0.006019459027972199,buy
2023-03-07 02:00:00,0.0001469,9501.731532202006,buy,sell,BUSD,0.02447348,-197282.0,sell,sell,USTC,197.282,USTC,0.006002415676070587,buy
2023-03-07 03:00:00,0.00014644,-30351821.580000043,sell,sell,LUNC,0.0245086,9913.238528,buy,buy,BUSD,-67694.8820540836,LUNC,0.005975045494234677,sell
2023-03-07 04:00:00,0.00014645,18889.319987473,buy,buy,BUSD,0.02449791,-259186.0,sell,sell,USTC,259.186,USTC,0.005978060985610609,buy
2023-03-07 10:00:00,0.00014456,-164016778.69000006,sell,buy,LUNC,0.02412421,36134.32732745,buy,buy,BUSD,-249960.75904434145,LUNC,0.005992320577544301,sell
2023-03-07 12:00:00,0.000144,76587.300468,buy,buy,BUSD,0.02393981,-702997.0,sell,buy,USTC,702.9970000000001,USTC,0.006015085332757445,buy
2023-03-07 20:00:00,0.00014042,-328675861.90999985,sell,buy,LUNC,0.02359951,5961.37782306,buy,buy,BUSD,-42453.9084393961,LUNC,0.005950123540700633,sell
2023-03-07 21:00:00,0.00014033,49376.798340124515,buy,sell,BUSD,0.02358534,-149441.0,sell,sell,USTC,149.441,USTC,0.005949882426965225,buy
2023-03-08 00:00:00,0.00014167,2532.9380372231094,buy,sell,BUSD,0.02377974,-1393508.0,sell,buy,USTC,106.51664136038113,USTC,0.005957592471574542,buy
2023-03-08 02:00:00,0.0001414,-114772249.79999998,sell,sell,LUNC,0.0236259,11482.754421599999,buy,sell,BUSD,-81207.59845544554,LUNC,0.005984957186816164,sell
2023-03-08 06:00:00,0.00013991,-79387827.3199997,sell,buy,LUNC,0.02301633,5728.304210400001,buy,buy,BUSD,-40942.779003645206,LUNC,0.0060787275816778785,sell
2023-03-08 08:00:00,0.00013872,-189229711.98000002,sell,sell,LUNC,0.02292582,13220.174103,buy,buy,BUSD,-95301.13972750865,LUNC,0.00605081955629068,sell
2023-03-08 09:00:00,0.00013954,-389918757.1700001,sell,buy,LUNC,0.02300437,17874.46450311,buy,buy,BUSD,-128095.63209911136,LUNC,0.006065804018975525,sell
2023-03-08 10:00:00,0.00013919,-107859461.49000025,sell,sell,LUNC,0.0230982,24760.9470252,buy,buy,BUSD,-177893.14624039084,LUNC,0.006026010684815267,sell
2023-03-08 11:00:00,0.00013892,-78455923.68999958,sell,sell,LUNC,0.02329275,35439.61631925,buy,buy,BUSD,-255108.093285704,LUNC,0.005964087537967823,sell
2023-03-08 16:00:00,0.00013541,-424540665.47,sell,sell,LUNC,0.02294974,15651.30958468,buy,buy,BUSD,-115584.591866775,LUNC,0.005900284709107816,sell
2023-03-08 19:00:00,0.00013242,-1546377994.6900003,sell,sell,LUNC,0.02254538,3384.94080782,buy,sell,BUSD,-25562.156832955745,LUNC,0.005873487162336585,sell
2023-03-08 20:00:00,0.00013408,15915.822540204792,buy,buy,BUSD,0.02258397,-735245.0,sell,buy,USTC,704.739801735691,USTC,0.005936954397300386,buy
2023-03-08 21:00:00,0.00013274,-125943304.05999947,sell,sell,LUNC,0.0224129,7395.293245299999,buy,sell,BUSD,-55712.62050097935,LUNC,0.005922482141980735,sell
2023-03-09 00:00:00,0.00013143,-490684268.5600002,sell,buy,LUNC,0.02252895,39722.841879449996,buy,buy,BUSD,-302235.72912919417,LUNC,0.0058338271424101,sell
2023-03-09 06:00:00,0.00013598,-694133667.6799994,sell,sell,LUNC,0.02484792,28960.32530376,buy,buy,BUSD,-212974.88824650683,LUNC,0.005472490252705257,sell
2023-03-09 08:00:00,0.0001346,-467531455.25,sell,buy,LUNC,0.02464946,69588.65465926,buy,buy,BUSD,-517003.3778548292,LUNC,0.005460565870408519,sell
2023-03-09 09:00:00,0.00013469,-289766547.0499995,sell,buy,LUNC,0.02456828,2970.9192590000002,buy,sell,BUSD,-22057.459789145447,LUNC,0.00548227226325978,sell
2023-03-09 10:00:00,0.0001353,37959.04805381699,buy,buy,BUSD,0.02433409,-471261.0,sell,sell,USTC,471.261,USTC,0.005560101076308998,buy
2023-03-09 12:00:00,0.00013434,-575817409.6499997,sell,sell,LUNC,0.02427008,23739.80302208,buy,buy,BUSD,-176714.3294780408,LUNC,0.0055352104319392435,sell
2023-03-09 13:00:00,0.00013578,95204.60068716903,buy,buy,BUSD,0.02406771,-1793565.0,sell,sell,USTC,1793.5649999999998,USTC,0.005641583682037053,buy
2023-03-09 22:00:00,0.00012742,15557.634184174482,buy,buy,BUSD,0.02248512,-3293805.0,sell,buy,USTC,691.9079900029211,USTC,0.005666858793726695,buy
2023-03-10 04:00:00,0.00012434,-155156862.37000036,sell,sell,LUNC,0.02210203,12266.20671143,buy,sell,BUSD,-98650.52848182405,LUNC,0.005625727591537971,sell
2023-03-10 05:00:00,0.00012591,85280.82689965592,buy,buy,BUSD,0.0223438,-987691.0,sell,buy,USTC,987.691,USTC,0.00563512025707355,buy
2023-03-10 14:00:00,0.00012138,34734.44310009656,buy,sell,BUSD,0.02226129,-2919646.0,sell,sell,USTC,1560.3068420606605,USTC,0.005452514207397685,buy
2023-03-10 15:00:00,0.00012316,146440.4303107764,buy,buy,BUSD,0.02227061,-4245207.0,sell,sell,USTC,4245.207,USTC,0.005530158356686234,buy
2023-03-10 20:00:00,0.00012288,1241.1782541311718,buy,sell,BUSD,0.02171637,-1145938.0,sell,sell,USTC,57.154038825603536,USTC,0.005658404236067077,buy
2023-03-10 23:00:00,0.000125,-621393471.3400002,sell,buy,LUNC,0.02214174,28343.79636618,buy,buy,BUSD,-226750.37092944,LUNC,0.005645446112184499,sell
2023-03-11 00:00:00,0.0001251,-201238746.19000006,sell,buy,LUNC,0.02243625,102371.74008375,buy,buy,BUSD,-818319.2652577937,LUNC,0.005575798094601371,sell
2023-03-11 01:00:00,0.0001271,-581600103.6099997,sell,buy,LUNC,0.02267902,86202.77358784,buy,buy,BUSD,-678227.9589916602,LUNC,0.0056042985984403205,sell
2023-03-11 02:00:00,0.00012569,26212.992673920762,buy,sell,BUSD,0.02258028,-2137689.0,sell,sell,USTC,1160.879877216791,USTC,0.005566361444587932,buy
2023-03-11 13:00:00,0.00011952,-55198643.85000038,sell,buy,LUNC,0.02150089,4948.70934507,buy,buy,BUSD,-41404.863998242974,LUNC,0.005558839657335115,sell
2023-03-11 14:00:00,0.00011943,-265586302.10999966,sell,sell,LUNC,0.02167513,11527.33266199,buy,buy,BUSD,-96519.57349066398,LUNC,0.005510001554777295,sell
2023-03-11 16:00:00,0.00011926,-287721746.4000006,sell,buy,LUNC,0.02149629,30454.030502190002,buy,sell,BUSD,-255358.29701651854,LUNC,0.00554793408537008,sell
2023-03-11 18:00:00,0.0001197,8014.227200343006,buy,buy,BUSD,0.02142562,-1241404.0,sell,sell,USTC,374.0487883357871,USTC,0.005586769484383649,buy
2023-03-11 22:00:00,0.0001206,-85556622.71000004,sell,sell,LUNC,0.02161694,4312.70923164,buy,buy,BUSD,-35760.44139004975,LUNC,0.005578957983877459,sell
2023-03-12 01:00:00,0.00012082,25300.89077826379,buy,sell,BUSD,0.02170313,-300502.0,sell,buy,USTC,300.502,USTC,0.005566938962260282,buy
2023-03-12 02:00:00,0.00012103,97603.7429436069,buy,buy,BUSD,0.02162988,-2574919.0,sell,sell,USTC,2574.919,USTC,0.0055955002986609265,buy
2023-03-12 03:00:00,0.0001212,-122931606.99000019,sell,buy,LUNC,0.02167843,42880.71496348,buy,buy,BUSD,-353801.27857656765,LUNC,0.005590810773658425,sell
2023-03-12 05:00:00,0.00012148,50101.7361546108,buy,sell,BUSD,0.02235521,-3415387.0,sell,sell,USTC,2241.1659812012863,USTC,0.005434080019825356,buy
2023-03-12 07:00:00,0.00012181,44125.81993516969,buy,buy,BUSD,0.02226205,-2752417.0,sell,buy,USTC,1982.1094614004412,USTC,0.005471643447032057,buy
2023-03-12 10:00:00,0.00012191,52668.780403828576,buy,buy,BUSD,0.02211774,-105177.0,sell,buy,USTC,105.17700000000002,USTC,0.005511865136311396,buy
2023-03-12 16:00:00,0.00012126,-57410910.30000019,sell,buy,LUNC,0.02180385,3950.74860075,buy,buy,BUSD,-32580.80653760515,LUNC,0.005561403146691984,sell
2023-03-12 18:00:00,0.00012401,-491516973.79999924,sell,buy,LUNC,0.02234219,65234.59230886,buy,buy,BUSD,-526042.9990231433,LUNC,0.005550485426898616,sell
2023-03-12 19:00:00,0.00012315,-67310103.17000008,sell,sell,LUNC,0.02213394,10522.38654024,buy,sell,BUSD,-85443.65846723509,LUNC,0.00556385352088241,sell
2023-03-13 01:00:00,0.00013164,-430837542.05999947,sell,buy,LUNC,0.02326,20634.8764,buy,sell,BUSD,-156752.32756001217,LUNC,0.0056595012897678425,sell
2023-03-13 03:00:00,0.0001302,0.3276509039354324,buy,buy,BUSD,0.02287373,-4940251.0,sell,sell,USTC,0.014324332058454499,USTC,0.005692119300175354,buy
2023-03-13 04:00:00,0.00013085,31811.571990868986,buy,buy,BUSD,0.02299774,-325308.0,sell,buy,USTC,325.30800000000005,USTC,0.005689689508621283,buy
2023-03-13 06:00:00,0.00013066,-487639010.35999966,sell,buy,LUNC,0.02326863,31372.37250147,buy,sell,BUSD,-240106.93786522272,LUNC,0.005615285472329055,sell
2023-03-13 07:00:00,0.00013107,24913.09957044514,buy,buy,BUSD,0.02305345,-2918371.0,sell,sell,USTC,1080.6668663668622,USTC,0.005685483083876817,buy
2023-03-13 10:00:00,0.00012842,36378.135020731796,buy,buy,BUSD,0.02265973,-1588451.0,sell,buy,USTC,1588.451,USTC,0.005667322602696502,buy
2023-03-13 12:00:00,0.0001277,-429928575.3500004,sell,sell,LUNC,0.02255863,41573.45713741,buy,sell,BUSD,-325555.6549523101,LUNC,0.005660804756317205,sell
2023-03-13 13:00:00,0.00012931,71303.29295737843,buy,buy,BUSD,0.02281,-970539.0,sell,buy,USTC,970.5390000000001,USTC,0.005669004822446295,buy
2023-03-13 17:00:00,0.00013258,-1104985317.0500007,sell,sell,LUNC,0.02375192,114860.81733968,buy,buy,BUSD,-866351.01327259,LUNC,0.005581864539792994,sell
2023-03-13 18:00:00,0.00013299,-1240831103.3200002,sell,buy,LUNC,0.02383353,2433.2365782899997,buy,buy,BUSD,-18296.38753507782,LUNC,0.005579953955624703,sell
2023-03-13 19:00:00,0.0001327,-1036584736.1099997,sell,sell,LUNC,0.0239899,46667.312571,buy,buy,BUSD,-351675.30196684255,LUNC,0.005531494503937073,sell
2023-03-13 22:00:00,0.0001332,-197518983.76999998,sell,buy,LUNC,0.02390615,11244.472807850001,buy,buy,BUSD,-84417.96402289791,LUNC,0.005571788012708028,sell
2023-03-14 00:00:00,0.00013239,67845.40499330725,buy,buy,BUSD,0.02354014,-1312896.0,sell,sell,USTC,1312.896,USTC,0.005624010732306605,buy
2023-03-14 02:00:00,0.00013228,7654.28047535717,buy,sell,BUSD,0.02346,-3089104.0,sell,sell,USTC,326.26941497686147,USTC,0.005638533674339301,buy
2023-03-14 08:00:00,0.0001312,-1099378884.96,sell,sell,LUNC,0.02321175,63682.52707725,buy,sell,BUSD,-485385.11491806404,LUNC,0.00565230971383028,sell
2023-03-14 11:00:00,0.00013197,-454131466.8699999,sell,sell,LUNC,0.0233299,7108.9471486,buy,sell,BUSD,-53867.902921876186,LUNC,0.005656689484309834,sell
2023-03-14 13:00:00,0.0001363,-1499998405.4000015,sell,buy,LUNC,0.02412834,82242.87046206,buy,buy,BUSD,-603395.9681735877,LUNC,0.005648958859167269,sell
2023-03-14 14:00:00,0.00013953,133194.18101165866,buy,buy,BUSD,0.02436882,-1377683.0,sell,buy,USTC,1377.683,USTC,0.005725759392535215,buy
2023-03-14 20:00:00,0.00013328,227434.07678260654,buy,sell,BUSD,0.02369555,-3152185.0,sell,sell,USTC,3152.185,USTC,0.005624684803686769,buy
2023-03-14 22:00:00,0.00013355,-511482892.8600006,sell,buy,LUNC,0.02363,21917.179450000003,buy,sell,BUSD,-164112.16360913517,LUNC,0.005651713922979263,sell
2023-03-14 23:00:00,0.00013334,78524.73696054594,buy,sell,BUSD,0.02359405,-590240.0,sell,sell,USTC,590.24,USTC,0.005651424829565081,buy
2023-03-15 03:00:00,0.00013492,-536122061.22999966,sell,buy,LUNC,0.023655,16747.858275,buy,sell,BUSD,-124131.76901126593,LUNC,0.005703656732191926,sell
2023-03-15 17:00:00,0.00012391,-219342138.789999,sell,buy,LUNC,0.02199956,19011.095770480002,buy,buy,BUSD,-153426.64652150756,LUNC,0.005632385374980227,sell
2023-03-15 18:00:00,0.00012468,-116123653.76000023,sell,buy,LUNC,0.02212493,13296.83955577,buy,buy,BUSD,-106647.73464685596,LUNC,0.005635272066397498,sell
2023-03-16 00:00:00,0.00012248,-660377866.5200005,sell,sell,LUNC,0.02203917,14069.5857363,buy,sell,BUSD,-114872.51580911169,LUNC,0.005557378068230337,sell
2023-03-16 01:00:00,0.00012298,9302.13241709184,buy,buy,BUSD,0.02216636,-1783009.0,sell,buy,USTC,419.65087714409765,USTC,0.005548046679743539,buy
2023-03-16 04:00:00,0.00012335,-483142316.09000015,sell,sell,LUNC,0.02193772,12451.21367812,buy,sell,BUSD,-100942.14574884476,LUNC,0.005622735635243771,sell
2023-03-16 05:00:00,0.0001243,36328.514886114004,buy,buy,BUSD,0.022192,-246756.0,sell,buy,USTC,246.75599999999997,USTC,0.005601117519826965,buy
2023-03-16 07:00:00,0.00012583,-84851978.75999975,sell,buy,LUNC,0.02234502,38080.24901388,buy,buy,BUSD,-302632.51222983387,LUNC,0.005631232373029874,sell
2023-03-16 10:00:00,0.00012617,98743.00249560442,buy,buy,BUSD,0.02232446,-101403.0,sell,buy,USTC,101.403,USTC,0.005651648460925818,buy
2023-03-16 15:00:00,0.00012522,634157.8911934792,buy,sell,BUSD,0.02233464,-147868.0,sell,buy,USTC,147.868,USTC,0.005606537647349588,buy
2023-03-16 16:00:00,0.00012494,-486236656.79999995,sell,sell,LUNC,0.02244961,32939.68416392,buy,buy,BUSD,-263644.0224421322,LUNC,0.005565352805683484,sell
2023-03-16 19:00:00,0.00012548,22785.161256080806,buy,buy,BUSD,0.02231666,-1366640.0,sell,buy,USTC,1020.9933411218707,USTC,0.005622705189755098,buy
2023-03-17 01:00:00,0.00012679,177575.3890238759,buy,buy,BUSD,0.02279086,-144696.0,sell,buy,USTC,144.696,USTC,0.005563195070304499,buy
2023-03-17 03:00:00,0.0001273,8081.712023504988,buy,buy,BUSD,0.02283163,-166729.0,sell,buy,USTC,166.729,USTC,0.005575598413253894,buy
2023-03-17 04:00:00,0.0001267,16101.378357336955,buy,sell,BUSD,0.02261291,-2630417.0,sell,sell,USTC,712.043622750763,USTC,0.005602994041899074,buy
2023-03-17 05:00:00,0.0001268,3838.768525763972,buy,buy,BUSD,0.02262774,-46449.0,sell,buy,USTC,46.449000000000005,USTC,0.005603741248573653,buy
2023-03-17 11:00:00,0.00013013,34733.17175157828,buy,buy,BUSD,0.02316635,-366741.0,sell,buy,USTC,366.741,USTC,0.005617199084016256,buy
2023-03-17 16:00:00,0.00012685,-28425203.01999998,sell,buy,LUNC,0.02267156,154.82408324,buy,buy,BUSD,-1220.5288391013007,LUNC,0.005595115642681844,sell
2023-03-17 23:00:00,0.00013148,34689.78030455403,buy,buy,BUSD,0.02340834,-344027.0,sell,buy,USTC,344.02700000000004,USTC,0.005616801533128791,buy
2023-03-18 03:00:00,0.00013311,-373640530.2999997,sell,buy,LUNC,0.02366455,13621.5989546,buy,buy,BUSD,-102333.40060551422,LUNC,0.00562486926647665,sell
2023-03-18 07:00:00,0.00013257,-200904903.7199998,sell,sell,LUNC,0.02367508,3884.82020212,buy,buy,BUSD,-29303.916437504715,LUNC,0.005599558692093121,sell
2023-03-18 08:00:00,0.00013194,10569.121290223164,buy,sell,BUSD,0.02349066,-2516248.0,sell,sell,USTC,449.9286648490576,USTC,0.005616700424764565,buy
2023-03-18 10:00:00,0.00013277,-19511619.389999866,sell,buy,LUNC,0.02355,8654.69565,buy,buy,BUSD,-65185.62664758605,LUNC,0.0056377919320594475,sell
2023-03-18 11:00:00,0.00014225,-206783692.3600006,sell,buy,LUNC,0.02468,597292.18088,buy,buy,BUSD,-4198890.551001758,LUNC,0.005763776337115072,sell
2023-03-18 13:00:00,0.00013895,124917.71096383603,buy,buy,BUSD,0.02433085,-3379319.0,sell,buy,USTC,3379.3190000000004,USTC,0.0057108567929192765,buy
2023-03-18 14:00:00,0.00013929,-166124624.92000008,sell,buy,LUNC,0.02441608,33505.01461216,buy,buy,BUSD,-240541.4215820231,LUNC,0.005704846969701935,sell
2023-03-18 19:00:00,0.0001341,-429456367.02000046,sell,sell,LUNC,0.0235882,10167.0331404,buy,sell,BUSD,-75816.80194183445,LUNC,0.005685045912786902,sell
2023-03-18 20:00:00,0.00013441,33823.33113667379,buy,buy,BUSD,0.02366668,-3841.0,sell,buy,USTC,3.841,USTC,0.005679292575046437,buy
2023-03-18 21:00:00,0.00013454,-1280125876.6000004,sell,buy,LUNC,0.02369451,27770.202665099998,buy,buy,BUSD,-206408.52285639956,LUNC,0.005678108557636347,sell
2023-03-19 03:00:00,0.00013668,-94338455.40999985,sell,buy,LUNC,0.02390259,22720.34399601,buy,buy,BUSD,-166230.2019023266,LUNC,0.005718208779885359,sell
2023-03-19 09:00:00,0.00013503,18530.035484753163,buy,buy,BUSD,0.02367362,-1235050.0,sell,sell,USTC,782.7292777679613,USTC,0.005703817160197723,buy
2023-03-19 14:00:00,0.00013457,-170696674.84000015,sell,buy,LUNC,0.02341322,9337.94135904,buy,buy,BUSD,-69390.9590476332,LUNC,0.0057476075482142145,sell
2023-03-19 16:00:00,0.00013593,114978.65550838666,buy,buy,BUSD,0.0235811,-4557632.0,sell,sell,USTC,4557.632,USTC,0.0057643621374745034,buy
2023-03-19 21:00:00,0.00013552,29051.978358603246,buy,buy,BUSD,0.02351054,-587839.0,sell,buy,USTC,587.8389999999999,USTC,0.005764223195213722,buy
2023-03-19 22:00:00,0.000136,67111.70673431999,buy,buy,BUSD,0.023558,-334874.0,sell,buy,USTC,334.874,USTC,0.005772985822225995,buy
2023-03-20 03:00:00,0.00012853,-749950520.5900009,sell,sell,LUNC,0.02271715,1524.0027249,buy,sell,BUSD,-11857.17517233331,LUNC,0.005657840001936863,sell
2023-03-20 04:00:00,0.00012947,-850723758.1700001,sell,buy,LUNC,0.02299069,52335.868771860005,buy,buy,BUSD,-404231.6271866842,LUNC,0.00563140993158535,sell
2023-03-20 05:00:00,0.00013024,25254.83963858243,buy,buy,BUSD,0.02286337,-899677.0,sell,sell,USTC,899.677,USTC,0.005696448073927859,buy
2023-03-20 07:00:00,0.00013151,73767.26318743499,buy,buy,BUSD,0.02271771,-1324895.0,sell,sell,USTC,1324.895,USTC,0.00578887572735104,buy
2023-03-20 08:00:00,0.00013147,-442963913.9300003,sell,sell,LUNC,0.02279595,21003.960370499997,buy,buy,BUSD,-159762.3820681524,LUNC,0.005767252516346106,sell
